,accuracy,n_features,kind,removed_feature
365,1.0,299,cluster_0,OW_sF1_mean_first
366,1.0,299,cluster_1,EY_sF1_max_first
367,1.0,299,cluster_2,EY_sF4_max_first
368,1.0,299,cluster_3,spectral_TH_duration
369,1.0,299,cluster_4,AY_sF3_mean_first
370,1.0,298,cluster_0,AH_sF2_mean_dist
371,1.0,298,cluster_1,EY_sF4_max_third
372,1.0,298,cluster_2,EY_sF4_min_third
373,1.0,298,cluster_3,spectral_S_intensity
374,1.0,298,cluster_4,AE_avg_dur
375,1.0,297,cluster_0,EH_sF3_mean
376,1.0,297,cluster_1,EY_sF4_mean_third
377,1.0,297,cluster_2,EY_sF3_mean_first
378,1.0,297,cluster_3,spectral_F_duration
379,1.0,297,cluster_4,AY_sF3_min_third
380,1.0,296,cluster_0,spectral_F_cog
381,1.0,296,cluster_1,K_avg_dur
382,1.0,296,cluster_2,EY_sF3_max_third
383,1.0,296,cluster_3,ER_avg_dur
384,1.0,296,cluster_4,AO_sF2_mean_dist
385,1.0,295,cluster_0,IH_sF2_mean
386,1.0,295,cluster_1,IH_sF2_mean_dist
387,1.0,295,cluster_2,EY_sF3_mean_third
388,1.0,295,cluster_3,AH_sF3_max
389,1.0,295,cluster_4,AY_sF3_min_first
390,1.0,294,cluster_0,AY_sF3_mean_third
391,1.0,294,cluster_1,AH_sF3_min
392,1.0,294,cluster_2,EY_sF3_max_first
393,1.0,294,cluster_3,IY_sF1_mean_dist
394,1.0,294,cluster_4,AO_sF1_mean_dist
395,1.0,293,cluster_0,AY_sF3_mean_first
396,1.0,293,cluster_1,IH_sF1_min
397,1.0,293,cluster_2,IY_sF2_mean_dist
398,1.0,293,cluster_3,IY_sF1_min
399,1.0,293,cluster_4,spectral_V_cog
400,1.0,292,cluster_0,EH_sF2_mean
401,1.0,292,cluster_1,EY_sF4_min_third
402,1.0,292,cluster_2,AE_sF4_mean
403,1.0,292,cluster_3,EH_sF1_mean_dist
404,1.0,292,cluster_4,AE_sF4_mean
405,1.0,291,cluster_0,AY_sF2_mean_third
406,1.0,291,cluster_1,AE_sF3_mean
407,1.0,291,cluster_2,AY_sF1_mean_third
408,1.0,291,cluster_3,spectral_Z_kurt
409,1.0,291,cluster_4,spectral_V_intensity
410,1.0,290,cluster_0,AY_sF4_min_third
411,1.0,290,cluster_1,AA_sF1_min
412,1.0,290,cluster_2,AE_sF1_mean
413,1.0,290,cluster_3,spectral_S_kurt
414,1.0,290,cluster_4,IH_sF3_mean
415,1.0,289,cluster_0,AY_sF4_min_first
416,1.0,289,cluster_1,spectral_DH_duration
417,1.0,289,cluster_2,EH_sF2_mean
418,1.0,289,cluster_3,F0_90
419,1.0,289,cluster_4,AE_sF3_min
420,1.0,288,cluster_0,AH_sF1_mean
421,1.0,288,cluster_1,EY_sF1_min_first
422,1.0,288,cluster_2,UW_sF1_mean
423,1.0,288,cluster_3,AA_sF4_min
424,1.0,288,cluster_4,F0_mean
425,1.0,287,cluster_0,spectral_TH_cog
426,1.0,287,cluster_1,AE_sF2_max
427,1.0,287,cluster_2,IH_sF4_min
428,1.0,287,cluster_3,AA_sF3_max
429,1.0,287,cluster_4,AH_avg_dur
430,1.0,286,cluster_0,AH_sF1_min
431,1.0,286,cluster_1,ER_avg_dur
432,1.0,286,cluster_2,AY_sF1_max_first
433,1.0,286,cluster_3,spectral_Z_sdev
434,1.0,286,cluster_4,AE_sF1_mean
435,1.0,285,cluster_0,spectral_TH_skew
436,1.0,285,cluster_1,IH_sF1_mean_dist
437,1.0,285,cluster_2,AY_sF2_mean_third
438,1.0,285,cluster_3,IY_sF2_mean_dist
439,1.0,285,cluster_4,spectral_DH_kurt
440,1.0,284,cluster_0,K_avg_dur
441,1.0,284,cluster_1,EY_sF1_min_third
442,1.0,284,cluster_2,AE_sF2_mean
443,1.0,284,cluster_3,IH_sF1_min
444,1.0,284,cluster_4,AE_sF3_max
445,1.0,283,cluster_0,spectral_DH_duration
446,1.0,283,cluster_1,AY_sF4_max_first
447,1.0,283,cluster_2,IH_sF1_min
448,1.0,283,cluster_3,AY_sF4_min_first
449,1.0,283,cluster_4,F0_std
450,1.0,282,cluster_0,P_avg_dur
451,1.0,282,cluster_1,EY_sF3_mean_first
452,1.0,282,cluster_2,spectral_DH_intensity
453,1.0,282,cluster_3,IY_sF2_max
454,1.0,282,cluster_4,AE_sF1_mean_dist
455,1.0,281,cluster_0,IH_sF3_min
456,1.0,281,cluster_1,AE_sF3_min
457,1.0,281,cluster_2,UW_sF3_mean
458,1.0,281,cluster_3,AY_sF1_mean_third
459,1.0,281,cluster_4,AE_sF4_max
460,1.0,280,cluster_0,spectral_V_skew
461,1.0,280,cluster_1,spectral_S_skew
462,1.0,280,cluster_2,IH_sF2_mean_dist
463,1.0,280,cluster_3,EY_sF2_mean_first
464,1.0,280,cluster_4,EH_sF3_mean
465,1.0,279,cluster_0,IY_sF1_mean
466,1.0,279,cluster_1,IY_sF4_mean_dist
467,1.0,279,cluster_2,AY_sF2_mean_first
468,1.0,279,cluster_3,AY_sF1_max_first
469,1.0,279,cluster_4,EH_sF4_max
470,1.0,278,cluster_0,spectral_F_skew
471,1.0,278,cluster_1,spectral_TH_kurt
472,1.0,278,cluster_2,UW_avg_dur
473,1.0,278,cluster_3,IH_sF2_mean_dist
474,1.0,278,cluster_4,AO_sF1_max
475,1.0,277,cluster_0,IH_sF2_mean_dist
476,1.0,277,cluster_1,spectral_TH_skew
477,1.0,277,cluster_2,AY_sF1_max_third
478,1.0,277,cluster_3,AA_sF3_mean
479,1.0,277,cluster_4,EH_sF3_min
480,1.0,276,cluster_0,spectral_DH_cog
481,1.0,276,cluster_1,spectral_TH_cog
482,1.0,276,cluster_2,AY_sF4_min_third
483,1.0,276,cluster_3,AY_sF1_max_third
484,1.0,276,cluster_4,AO_sF1_min
485,1.0,275,cluster_0,OW_sF1_min_first
486,1.0,275,cluster_1,spectral_TH_sdev
487,1.0,275,cluster_2,IY_sF3_min
488,1.0,275,cluster_3,IH_sF2_mean
489,1.0,275,cluster_4,spectral_S_cog
490,1.0,274,cluster_0,IY_sF3_mean
491,1.0,274,cluster_1,AY_sF4_max_third
492,1.0,274,cluster_2,AY_sF1_min_third
493,1.0,274,cluster_3,AY_sF4_min_third
494,1.0,274,cluster_4,spectral_Z_duration
495,1.0,273,cluster_0,IY_sF3_max
496,1.0,273,cluster_1,vowel_avg_dur
497,1.0,273,cluster_2,IH_sF1_max
498,1.0,273,cluster_3,AO_sF3_max
499,1.0,273,cluster_4,EH_sF2_mean
500,1.0,272,cluster_0,IH_sF2_min
501,1.0,272,cluster_1,UH_sF2_min
502,1.0,272,cluster_2,AY_sF1_min_first
503,1.0,272,cluster_3,IH_sF3_min
504,1.0,272,cluster_4,AH_sF1_min
505,1.0,271,cluster_0,AY_sF2_mean_first
506,1.0,271,cluster_1,UH_sF2_mean
507,1.0,271,cluster_2,AY_sF4_min_first
508,1.0,271,cluster_3,AH_avg_dur
509,1.0,271,cluster_4,spectral_Z_intensity
510,1.0,270,cluster_0,UW_sF2_min
511,1.0,270,cluster_1,spectral_Z_skew
512,1.0,270,cluster_2,AH_sF1_mean_dist
513,1.0,270,cluster_3,AH_sF2_mean_dist
514,1.0,270,cluster_4,EH_sF2_mean_dist
515,1.0,269,cluster_0,IY_sF2_max
516,1.0,269,cluster_1,UH_sF2_max
517,1.0,269,cluster_2,UW_sF1_mean_dist
518,1.0,269,cluster_3,AX_sF1_mean_dist
519,1.0,269,cluster_4,AH_sF2_min
520,1.0,268,cluster_0,AH_sF1_max
521,1.0,268,cluster_1,AH_avg_dur
522,1.0,268,cluster_2,N_avg_dur
523,1.0,268,cluster_3,AY_sF1_mean_first
524,1.0,268,cluster_4,spectral_DH_duration
525,1.0,267,cluster_0,IH_sF1_mean_dist
526,1.0,267,cluster_1,AY_sF2_mean_first
527,1.0,267,cluster_2,vowel_avg_dur
528,1.0,267,cluster_3,AY_sF2_min_first
529,1.0,267,cluster_4,spectral_DH_skew
530,1.0,266,cluster_0,spectral_F_intensity
531,1.0,266,cluster_1,percent_creak
532,1.0,266,cluster_2,spectral_S_intensity
533,1.0,266,cluster_3,IH_sF3_mean_dist
534,1.0,266,cluster_4,ER_avg_dur
535,1.0,265,cluster_0,N_avg_dur
536,1.0,265,cluster_1,AY_sF2_mean_third
537,1.0,265,cluster_2,AH_avg_dur
538,1.0,265,cluster_3,AH_sF1_mean_dist
539,1.0,265,cluster_4,spectral_Z_sdev
540,1.0,264,cluster_0,AY_sF3_max_first
541,1.0,264,cluster_1,EY_sF3_mean_third
542,1.0,264,cluster_2,AE_sF3_mean_dist
543,1.0,264,cluster_3,IH_sF2_max
544,1.0,264,cluster_4,F0_range
545,1.0,263,cluster_0,AY_sF3_max_third
546,1.0,263,cluster_1,AE_sF3_mean_dist
547,1.0,263,cluster_2,UW_sF3_max
548,1.0,263,cluster_3,EY_sF2_max_third
549,1.0,263,cluster_4,IH_sF4_min
550,1.0,262,cluster_0,AY_sF1_mean_third
551,1.0,262,cluster_1,EY_sF2_min_third
552,1.0,262,cluster_2,spectral_V_kurt
553,1.0,262,cluster_3,IH_avg_dur
554,1.0,262,cluster_4,AH_sF2_max
555,1.0,261,cluster_0,AH_sF1_mean_dist
556,1.0,261,cluster_1,AE_sF2_mean
557,1.0,261,cluster_2,IY_sF1_min
558,1.0,261,cluster_3,AY_sF2_min_third
559,1.0,261,cluster_4,AH_sF3_min
560,1.0,260,cluster_0,AH_sF3_mean
561,1.0,260,cluster_1,AX_sF4_mean
562,1.0,260,cluster_2,EY_sF1_max_first
563,1.0,260,cluster_3,spectral_TH_sdev
564,1.0,260,cluster_4,AH_sF2_mean
565,1.0,259,cluster_0,AY_sF1_mean_first
566,1.0,259,cluster_1,AH_sF1_mean
567,1.0,259,cluster_2,UW_sF2_mean
568,1.0,259,cluster_3,AE_sF4_mean_dist
569,1.0,259,cluster_4,IH_sF1_mean_dist
570,1.0,258,cluster_0,IY_sF1_min
571,1.0,258,cluster_1,AX_sF4_min
572,1.0,258,cluster_2,EY_sF1_max_third
573,1.0,258,cluster_3,IH_sF2_min
574,1.0,258,cluster_4,G_avg_dur
575,1.0,257,cluster_0,spectral_F_sdev
576,1.0,257,cluster_1,IH_sF4_mean_dist
577,1.0,257,cluster_2,AH_sF3_mean_dist
578,1.0,257,cluster_3,EY_sF2_max_first
579,1.0,257,cluster_4,AH_sF4_mean_dist
