,feature,grand_importance
111,UW_sF1_min,0.002679843557679172
112,AE_avg_dur,0.00256330720759378
113,AY_sF3_max_third,0.0025371347949729906
114,UW_avg_dur,0.002462781818424791
115,AA_sF2_max,0.002430963520770408
116,AY_avg_dur,0.0024194998922947896
117,AA_sF1_max,0.0023725722432709714
118,OW_sF1_max_first,0.0023528109625901347
119,IY_sF1_min,0.0023043396937273315
120,AE_sF4_mean_dist,0.0022651754846074166
121,spectral_F_sdev,0.0022579414443712593
122,AY_sF3_mean_first,0.002187842417349859
123,OW_sF1_min_first,0.0021709562711600882
124,AA_sF1_mean,0.0021537854135918496
125,spectral_S_sdev,0.002151585147024309
126,EH_sF1_mean_dist,0.0021270962489278655
127,AO_sF2_mean,0.0021088507345298196
128,EY_sF1_mean_first,0.0021075454180798153
129,DH_avg_dur,0.0020975095758178305
130,EH_avg_dur,0.0020965083550455424
131,IY_sF1_mean,0.002092976069634363
132,EH_sF3_min,0.0020592561113929055
133,OW_sF1_mean_first,0.0020551530343278913
134,UW_sF1_max,0.0020457762838248014
135,TH_avg_dur,0.0020388630465943652
136,spectral_S_kurt,0.002036547750435943
137,AE_sF4_max,0.002024949729551629
138,W_avg_dur,0.002024338735337914
139,EH_sF1_mean,0.002009145228184072
140,spectral_Z_duration,0.002007531344915259
141,spectral_Z_intensity,0.0019789744320016364
142,IY_sF2_min,0.001972209323321269
143,spectral_Z_sdev,0.00195883924248823
144,OW_sF1_max_third,0.001945824916545268
145,UW_sF2_mean,0.0019290509497441953
146,EH_sF4_mean_dist,0.0019131272089718246
147,AY_sF3_min_third,0.0019121898227291334
148,AE_sF2_max,0.0019063616268162758
149,AE_sF2_mean,0.0018837027953338996
150,AA_sF4_max,0.001878357147194627
151,EY_sF1_max_first,0.0018699261287007298
152,EH_sF3_max,0.0018603937385060618
153,NG_avg_dur,0.0018581925414863105
154,EH_sF4_mean,0.001844373029493086
155,UW_sF1_mean,0.0018425768264507972
156,UW_sF4_min,0.0018121388878213267
157,AA_sF1_mean_dist,0.0018013638199351598
158,spectral_V_cog,0.0017753489978807073
159,OW_sF1_mean_third,0.0017733827973491984
160,EH_sF4_max,0.0017663588000520843
161,spectral_F_intensity,0.0017498163039172364
162,OW_sF3_max_first,0.001726419544503432
163,UW_sF3_max,0.0017240826539980812
164,EH_sF1_max,0.0017203638587691677
165,AY_sF3_mean_third,0.0017132055831651915
166,UW_sF3_mean,0.0016966044834930108
167,AE_sF1_min,0.0016847449933434177
168,EY_sF1_mean_third,0.0016566750379601169
169,AA_sF2_mean,0.0016318359468504278
170,EY_sF1_max_third,0.0016313499802454716
171,OW_sF3_min_third,0.0016191281785704814
172,AA_sF3_mean_dist,0.0016099323757045657
173,IY_avg_dur,0.001603820428320121
174,spectral_F_cog,0.001601687798493145
175,EH_sF2_mean_dist,0.0015974230248558617
176,spectral_F_kurt,0.0015941242486289266
177,AA_avg_dur,0.0015888514682813899
178,UW_sF3_mean_dist,0.0015725940075604285
179,P_avg_dur,0.0015649841167634348
180,AO_sF4_mean,0.0015229645393346183
181,spectral_F_skew,0.0015165398904729735
182,AA_sF4_mean,0.0015115351996660288
183,AA_sF4_mean_dist,0.0014683154343651775
184,AO_sF4_min,0.0014430781314517757
185,OW_sF1_min_third,0.0014254115554496623
186,UW_sF4_mean_dist,0.001417481285282204
187,EY_sF1_min_first,0.0014074989635387363
188,AX_sF3_max,0.0013995802875453151
