,accuracy,n_features,kind,removed_feature
251,0.7653734404375321,121,grand_raw,spectral_JH_sdev
252,0.7330370876773201,120,grand_raw,OW_sF3_max_first
253,0.7330370876773201,119,grand_raw,OW_sF3_max_third
254,0.7330370876773201,118,grand_raw,OW_sF3_mean_first
255,0.7330370876773201,117,grand_raw,OW_sF3_mean_third
256,0.7330370876773201,116,grand_raw,OW_sF3_min_first
257,0.7330370876773201,115,grand_raw,OW_sF4_min_first
258,0.7330370876773201,114,grand_raw,OW_sF3_min_third
259,0.7330370876773201,113,grand_raw,OW_sF4_min_third
260,0.7330370876773201,112,grand_raw,OW_sF4_mean_first
261,0.7330370876773201,111,grand_raw,OW_sF4_mean_third
262,0.7330370876773201,110,grand_raw,OW_sF4_max_first
263,0.7330370876773201,109,grand_raw,OW_sF4_max_third
264,0.7330370876773201,108,grand_raw,AO_sF4_max
265,0.7330370876773201,107,grand_raw,AO_sF4_mean
266,0.7330370876773201,106,grand_raw,AO_sF4_min
267,0.7330370876773201,105,grand_raw,OW_avg_dur
268,0.7330370876773201,104,grand_raw,OW_sF2_min_third
269,0.7330370876773201,103,grand_raw,OW_sF2_min_first
270,0.7330370876773201,102,grand_raw,OW_sF1_min_third
271,0.7330370876773201,101,grand_raw,OW_sF1_max_third
272,0.7330370876773201,100,grand_raw,OW_sF1_max_first
273,0.7330370876773201,99,grand_raw,OW_sF2_max_first
274,0.7330370876773201,98,grand_raw,OW_sF2_max_third
275,0.7330370876773201,97,grand_raw,OW_sF2_mean_third
276,0.7330370876773201,96,grand_raw,OW_sF2_mean_first
277,0.7330370876773201,95,grand_raw,OW_sF1_min_first
278,0.7330370876773201,94,grand_raw,OW_sF1_mean_first
279,0.7330370876773201,93,grand_raw,OW_sF1_mean_third
280,0.6405742608101179,92,grand_raw,AO_sF1_mean_dist
281,0.6405742608101179,91,grand_raw,AO_sF3_mean
282,0.6405742608101179,90,grand_raw,AO_sF3_min
283,0.6405742608101179,89,grand_raw,AO_sF3_mean_dist
284,0.6405742608101179,88,grand_raw,AO_sF3_max
285,0.6405742608101179,87,grand_raw,AO_avg_dur
286,0.6405742608101179,86,grand_raw,AO_sF1_min
287,0.6405742608101179,85,grand_raw,AO_sF4_mean_dist
288,0.6405742608101179,84,grand_raw,AO_sF1_mean
289,0.6405742608101179,83,grand_raw,AO_sF1_max
290,0.6405742608101179,82,grand_raw,AO_sF2_max
291,0.6405742608101179,81,grand_raw,AO_sF2_mean_dist
292,0.6405742608101179,80,grand_raw,AO_sF2_min
293,0.6405742608101179,79,grand_raw,AO_sF2_mean
294,0.5482481627072295,78,grand_raw,spectral_SH_cog
295,0.5482481627072295,77,grand_raw,spectral_SH_kurt
296,0.5482481627072295,76,grand_raw,spectral_SH_intensity
297,0.5482481627072295,75,grand_raw,spectral_SH_sdev
298,0.5482481627072295,74,grand_raw,spectral_SH_duration
