,feature,importance_cluster_1
327,AW_sF2_min_third,0.00026485362117057294
328,OY_sF4_max_third,0.0002640805890532116
329,UH_sF4_min,0.00026160627729622553
330,OY_sF1_max_third,0.0002568783649699539
331,UH_sF4_mean_dist,0.0002554359478499011
332,AX_sF3_mean_dist,0.00023915435481150865
333,AW_sF1_max_first,0.0002350941117256786
334,OY_sF2_max_third,0.00023233256511755835
335,UH_sF1_mean,0.0002270164376081484
336,UH_sF1_max,0.000219446102314518
337,EY_sF2_max_third,0.00021722412865274793
338,OY_sF3_max_third,0.00020783376877715016
339,OY_sF4_mean_third,0.00020657203383823863
340,UH_sF3_mean_dist,0.00020223206899717245
341,OY_sF3_mean_third,0.00020146427922080776
342,OY_sF4_mean_first,0.00020013484676515363
343,AW_sF1_max_third,0.0001930023635235528
344,OY_sF1_mean_third,0.0001872768462788662
345,AW_sF4_mean_first,0.00017410654071451113
346,AX_sF3_mean,0.0001668627604914022
347,OY_sF2_mean_first,0.00015620942425262647
348,UH_sF3_mean,0.00015236729134018135
349,OY_sF1_mean_first,0.0001497637880270967
350,OY_sF4_min_first,0.0001407835725591744
351,AW_sF1_mean_first,0.0001320209834721437
352,spectral_SH_skew,0.00012967910096773466
353,AX_sF4_min,0.00012863451399172034
354,spectral_SH_duration,0.00012803607901347425
355,spectral_SH_sdev,0.00012596978134013
356,AW_sF2_min_first,0.0001240844310045811
357,AX_sF1_min,0.00011046777521782956
358,UH_sF1_mean_dist,0.0001076490701216391
359,UH_avg_dur,0.0001071150100778836
360,spectral_SH_kurt,6.293170869963707e-05
361,UH_sF3_min,6.270152397515609e-05
362,AW_sF2_max_third,3.735974250491332e-05
363,AR_avg_dur,0.0
364,CH_avg_dur,0.0
365,EL_avg_dur,0.0
366,H_avg_dur,0.0
367,ZH_avg_dur,0.0
368,AX_sF3_max,0.0
369,AW_sF2_mean_first,0.0
370,rando,0.0
371,rando_baseline_z_score,0.0
